RequestNo,RequestDate,RequestType,AssetFacilityType,CapexRequestAmount,RegionCode,BranchCode,BranchName,Zone,Region,RequestBU,RequestFunction,IsBudgeted,BudgetRefNo,UserRemarks,CurrentStatus,LastActionDate,LastActionRemarks,LastActionRejectionReason,LastActionBy,AssetCategoryName,AssetCategoryName_2,AssetItemName,VendorProcType,ItemCategory,ItemRatePerQtyForCentralProcItems,AssetItemQty,AssetItemRatePerQty,AssetAddlCharges,AssetAddlChargesRemarks,AssetItemAmount,AssetItemRemarks,VendorName,Vendor_RatePerQty,Vendor_TotalAmount,Vendor_DeliveryPeriod,Vendor_PaymentTerms,IsSelectedVendor
CPX-A/A/202526/0003,19-04-2025,Asset,Asset for New/Upgrade of facility,596700,A,A01,AHMEDABAD APEX - A01 (HO),West,AMD,Dom Exp,Admin,Yes,AMD 25,Mail approved attached  Under budgted Industrial c,Approved,06-05-2025,,,Authority - Aneel Gambhir ,OFFICE EQUIPMENTS,PLANT & MACHINERY,COOLER-Ops,Local,OPSMHE&FACILITYASSET,0,39,15300,0,Industrial Jumbo coolers Copper binding,596700,Industrial Jumbo cooler at Operation Area Under Bu,DCGPAC,15300,596700,10,30 days,Yes
CPX-A/A/202526/0008,14-06-2025,Asset,Asset for New/Upgrade of facility,208913,A,A04,SURAT APEX - A04 (HO),West,AMD,Dom Exp,IT,Yes,FY25-26,Requirement of IT assets for New udhana branch(sur,Approved,19-06-2025,,,Authority - Puttarame Gowda ,COMPUTER,COMPUTER,3 KVA UPS with 1 Hr Backup (APC SRC3KUXI-IN)-Ops,Central,ITASSETS-OPS,67348,1,67348,0,,67348,"not available in Stock ,hence raised capex as per ",,0,0,,,
CPX-A/A/202526/0008,14-06-2025,Asset,Asset for New/Upgrade of facility,208913,A,A04,SURAT APEX - A04 (HO),West,AMD,Dom Exp,IT,Yes,FY25-26,Requirement of IT assets for New udhana branch(sur,Approved,19-06-2025,,,Authority - Puttarame Gowda ,COMPUTER,COMPUTER,Desktop / PC (Dell/Lenovo/HP)-Ops,Central,ITASSETS-OPS,45455,3,45455,0,,136365,Total requirement for New Udhana branch is 5 no's ,,0,0,,,
CPX-A/A/202526/0008,14-06-2025,Asset,Asset for New/Upgrade of facility,208913,A,A04,SURAT APEX - A04 (HO),West,AMD,Dom Exp,IT,Yes,FY25-26,Requirement of IT assets for New udhana branch(sur,Approved,19-06-2025,,,Authority - Puttarame Gowda ,COMPUTER,COMPUTER,WIRED BARCODE SCANNER (NEWLAND HR11) - OPS,Central,ITASSETS-OPS,2600,2,2600,0,,5200,Total approved qty by Ops Team is -5 no's - 3 no's,,0,0,,,
CPX-A/A/202526/0009,14-06-2025,Asset,Asset for New/Upgrade of facility,36500,A,A04,SURAT APEX - A04 (HO),West,AMD,Dom Exp,Ops through IT,Yes,FY25-26,Requirement of IT assets for New udhana branch(sur,Approved,26-06-2025,Approved under Ops IT Budget,,Authority - Sapna Anandkumar ,COMPUTER,COMPUTER,Aruba 1930 24G POE Switch-NonOps,Central,ITASSETS-NONOPS,36500,1,36500,0,,36500,Requirement for new Udhana branch. Since not avail,,0,0,,,
CPX-A/A/202526/0024,09-07-2025,Asset,Asset for New/Upgrade of facility,198880,A,A03,RAJKOT BRANCH - A03 (BO),WEST,AMD,Dom Exp,Ops,Yes,FY25-26,To ensure the Rajkot Branch operates smoothly duri,Approved,09-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,MT90 HANDHELD TERMINAL DEVICE (HHT)- WIFI,Central,IT-Hardware,24860,8,24860,0,,198880,To ensure the Rajkot Branch operates smoothly duri,,0,0,,,
CPX-A/B/202526/0036,07-05-2025,Asset,Asset for other reasons,128909,B,B35,WHITE FIELD BRANCH - B35 (BO),South,BLR,Dom Exp,Ops through IT,Yes,FY 25-26,"Below mention ups is issue with Main PCB faulty, a",Approved,11-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,COMPUTER,6 KVA UPS with 1 Hr Backup (APC SRCE6KUXI-IN)-Ops,Central,ITASSETS-OPS,128909,1,128909,0,,128909,"Below mention ups is issue with Main PCB faulty, a",,0,0,,,
CPX-A/B/202526/0062,05-06-2025,Asset,Asset for other reasons,83190,B,B27,HOSUR BRANCH - B27 (BO),South,BLR,LTL,Ops,No,,This required on urgent basis for  Stake of TVS cl,Approved,11-06-2025,,,Authority - Abhishek Chakraborty   ,PLANT & MACHINERY,PLANT & MACHINERY,Plastic Pallets (Nilkamal)-Ops,Central,OPSMHE&FACILITYASSET,2773,30,2773,0,,83190,Required for TVS customer at Hosur branch LTL sect,,0,0,,,
CPX-A/B/202526/0063,05-06-2025,Asset,Asset for other reasons,44000,B,B10,BANGALORE YELAHANKA APEX - B10 (HO),South,BLR,Dom Exp,Ops,No,,Required on urgent basis.,Approved,11-06-2025,,,Authority - Abhishek Chakraborty   ,PLANT & MACHINERY,PLANT & MACHINERY,Hydraulic Trolley / Hand Pallet Truck (HPT) - 685m,Central,OPSMHE&FACILITYASSET,22000,2,22000,0,,44000,One Required for Yelahanka Apex for replacement as,,0,0,,,
CPX-A/B/202526/0064,06-06-2025,Asset,Asset for other reasons,22000,B,B27,HOSUR BRANCH - B27 (BO),South,BLR,LTL,Ops,No,,This is required on priority basis for TVS client ,Approved,11-06-2025,,,Authority - Abhishek Chakraborty   ,PLANT & MACHINERY,PLANT & MACHINERY,Hydraulic Trolley / Hand Pallet Truck (HPT) - 685m,Central,OPSMHE&FACILITYASSET,22000,1,22000,0,,22000,Required at Hosur branch for TVS client.,,0,0,,,
