RequestNo,RequestDate,RequestType,AssetFacilityType,CapexRequestAmount,RegionCode,BranchCode,BranchName,RequestBU,RequestFunction,IsBudgeted,BudgetRefNo,UserRemarks,CurrentStatus,LastActionDate,LastActionRemarks,LastActionRejectionReason,LastActionBy,AssetCategoryName,AssetItemName,VendorProcType,ItemCategory,ItemRatePerQtyForCentralProcItems,AssetItemQty,AssetItemRatePerQty,AssetAddlCharges,AssetAddlChargesRemarks,AssetItemAmount,AssetItemRemarks,VendorName,Vendor_RatePerQty,Vendor_TotalAmount,Vendor_DeliveryPeriod,Vendor_PaymentTerms,IsSelectedVendor
CPX-A/A/202526/0002,17-04-2025,Asset,Asset for New/Upgrade of facility,45455,A,A04,SURAT APEX - A04 (HO),Dom Exp,IT,No,,Request for Setup a Desktop/HTC Printer and Manpow,Rejected,05-05-2025,Need Rohan Ingale Approval,Others,Authority - Sudhakar B   ,COMPUTER,Desktop / PC (Dell/Lenovo/HP)-Non-Ops,Central,ITASSETS-NONOPS,45455,1,45455,0,,45455,"require 1 desktop, hTC printer and 1 manpower in K",,0,0,,,
CPX-A/A/202526/0003,19-04-2025,Asset,Asset for New/Upgrade of facility,596700,A,A01,AHMEDABAD APEX - A01 (HO),Dom Exp,Admin,Yes,AMD 25,Mail approved attached  Under budgted Industrial c,Approved,06-05-2025,,,Authority - Aneel Gambhir ,OFFICE EQUIPMENTS,COOLER-Ops,Local,OPSMHE&FACILITYASSET,0,39,15300,0,Industrial Jumbo coolers Copper binding,596700,Industrial Jumbo cooler at Operation Area Under Bu,DCGPAC,15300,596700,10,30 days,Yes
CPX-A/A/202526/0003,19-04-2025,Asset,Asset for New/Upgrade of facility,596700,A,A01,AHMEDABAD APEX - A01 (HO),Dom Exp,Admin,Yes,AMD 25,Mail approved attached  Under budgted Industrial c,Approved,06-05-2025,,,Authority - Aneel Gambhir ,OFFICE EQUIPMENTS,COOLER-Ops,Local,OPSMHE&FACILITYASSET,0,39,15300,0,Industrial Jumbo coolers Copper binding,596700,Industrial Jumbo cooler at Operation Area Under Bu,Priya Cool Technology,16200,639800,5,100 % Advance,-
CPX-A/A/202526/0003,19-04-2025,Asset,Asset for New/Upgrade of facility,596700,A,A01,AHMEDABAD APEX - A01 (HO),Dom Exp,Admin,Yes,AMD 25,Mail approved attached  Under budgted Industrial c,Approved,06-05-2025,,,Authority - Aneel Gambhir ,OFFICE EQUIPMENTS,COOLER-Ops,Local,OPSMHE&FACILITYASSET,0,39,15300,0,Industrial Jumbo coolers Copper binding,596700,Industrial Jumbo cooler at Operation Area Under Bu,TRIMURTI ENTERPRISE,17800,704200,10,100 % Advance,-
CPX-A/A/202526/0004,29-04-2025,Asset,Asset for other reasons,14411,A,A11,KHOKHRA BRANCH - A11 (BO),EFF BU,Ops,No,,Require Bluetooth printer at ESIC customer locatio,Rejected,05-05-2025,Need Rohan Ingale Approval for this,Others,Authority - Sudhakar B   ,COMPUTER,TSC DA220 BARCODE PRINTER (WITH BLUETOOTH) - OPS,Central,ITASSETS-OPS,14411,1,14411,0,,14411,Require Bluetooth Printer at customer location ESI,,0,0,,,
CPX-A/A/202526/0005,03-05-2025,Asset,Asset for New/Upgrade of facility,39190,A,A01,AHMEDABAD APEX - A01 (HO),Dom Exp,CS,No,,Need laptop for CRM Team lead as approved by NFH &,Approved,16-05-2025,,,Authority - Abhishek Chakraborty   ,COMPUTER,LAPTOP - JM,Central,IT-ASSETS-OTHERS,39190,1,39190,0,,39190,Need a laptop for CRM Team leader as approved by N,,0,0,,,
CPX-A/A/202526/0006,28-05-2025,Asset,Asset for New/Upgrade of facility,39190,A,A01,AHMEDABAD APEX - A01 (HO),Dom Exp,Channel,No,,Request for Laptop | C18556  the Channel Admin Man,Approved,02-06-2025,,,Authority - Aneel Gambhir ,COMPUTER,LAPTOP - JM,Central,IT-ASSETS-OTHERS,39190,1,39190,0,,39190, the Channel Admin Manager listed below requires a,,0,0,,,
CPX-A/A/202526/0007,04-06-2025,Asset,Asset for other reasons,39190,A,A01,AHMEDABAD APEX - A01 (HO),Dom Exp,Sales,Yes,FY 25-26,"C32473-Mann Rathod, Designation-KBDM, Location-Ahm",Approved,22-07-2025,,,Authority - Manish Sinha ,COMPUTER,LAPTOP - JM,Central,IT-ASSETS-OTHERS,39190,1,39190,0,,39190,Deployed in Sales team as a Key Account Manager in,,0,0,,,
CPX-A/A/202526/0008,14-06-2025,Asset,Asset for New/Upgrade of facility,208913,A,A04,SURAT APEX - A04 (HO),Dom Exp,IT,Yes,FY25-26,Requirement of IT assets for New udhana branch(sur,Approved,19-06-2025,,,Authority - Puttarame Gowda ,COMPUTER,3 KVA UPS with 1 Hr Backup (APC SRC3KUXI-IN)-Ops,Central,ITASSETS-OPS,67348,1,67348,0,,67348,"not available in Stock ,hence raised capex as per ",,0,0,,,
CPX-A/A/202526/0008,14-06-2025,Asset,Asset for New/Upgrade of facility,208913,A,A04,SURAT APEX - A04 (HO),Dom Exp,IT,Yes,FY25-26,Requirement of IT assets for New udhana branch(sur,Approved,19-06-2025,,,Authority - Puttarame Gowda ,COMPUTER,Desktop / PC (Dell/Lenovo/HP)-Ops,Central,ITASSETS-OPS,45455,3,45455,0,,136365,Total requirement for New Udhana branch is 5 no's ,,0,0,,,
